cohort_month,month_number,retained_customers
2021-02,5,3
2021-02,6,4
2021-02,7,6
2021-02,8,1
2021-02,9,2
2021-02,10,3
2021-02,11,3
2021-02,12,4
2021-02,13,4
2021-02,14,2
2021-02,15,3
2021-02,16,5
2021-02,17,5
2021-02,18,9
2021-02,19,4
2021-02,20,4
2021-02,21,8
2021-02,22,5
2021-02,23,4
2021-02,24,1
2021-02,25,1
2021-02,26,3
2021-02,27,11
2021-02,28,7
2021-02,29,4
2021-02,30,7
2021-02,31,6
2021-02,32,1
2021-02,33,7
2021-02,34,1
2021-02,35,6
2021-02,36,5
2021-02,37,1
2021-02,38,3
2021-02,39,5
2021-02,40,2
2021-02,41,5
2021-02,42,3
2021-02,43,5
2021-02,44,2
2021-02,45,3
2021-02,46,5
2021-02,47,4
2021-02,48,2
2021-02,49,6
2021-02,50,1
2021-03,0,155
2021-03,1,1
2021-03,2,2
2021-03,3,4
2021-03,4,3
2021-03,5,3
2021-03,6,6
2021-03,7,4
2021-03,8,3
2021-03,9,3
2021-03,10,4
2021-03,11,4
2021-03,12,2
2021-03,13,2
2021-03,14,8
2021-03,15,5
2021-03,16,7
2021-03,17,5
2021-03,18,11
2021-03,19,7
2021-03,20,7
2021-03,21,6
2021-03,22,6
2021-03,23,3
2021-03,24,6
2021-03,25,4
2021-03,26,5
2021-03,27,5
2021-03,28,5
2021-03,29,4
2021-03,30,2
2021-03,31,3
2021-03,32,3
2021-03,33,5
2021-03,34,3
2021-03,35,2
2021-03,36,6
2021-03,37,3
2021-03,38,4
2021-03,39,4
2021-03,40,5
2021-03,41,3
2021-03,42,8
2021-03,43,3
2021-03,44,5
2021-03,45,5
2021-03,46,5
2021-03,47,5
2021-03,48,3
2021-03,49,2
2021-04,0,156
2021-04,1,7
2021-04,2,5
2021-04,3,5
2021-04,4,5
2021-04,5,4
2021-04,6,4
2021-04,7,6
2021-04,8,4
2021-04,9,1
2021-04,10,3
2021-04,11,1
2021-04,12,2
2021-04,13,5
2021-04,14,3
2021-04,15,5
2021-04,16,3
2021-04,17,3
2021-04,18,4
2021-04,19,5
2021-04,20,2
2021-04,21,6
2021-04,22,4
2021-04,23,1
2021-04,24,1
2021-04,25,5
2021-04,26,1
2021-04,27,2
2021-04,28,3
2021-04,29,5
2021-04,30,3
2021-04,31,5
2021-04,32,4
2021-04,33,1
2021-04,34,5
2021-04,35,5
2021-04,36,5
2021-04,37,3
2021-04,38,5
2021-04,39,2
2021-04,40,3
2021-04,41,7
2021-04,42,6
2021-04,43,4
2021-04,44,2
2021-04,45,2
2021-04,46,2
2021-04,47,5
2021-04,48,2
2021-05,0,145
2021-05,1,2
2021-05,2,3
2021-05,3,3
2021-05,4,1
2021-05,5,3
2021-05,6,7
2021-05,7,3
2021-05,8,5
2021-05,9,3
2021-05,10,7
2021-05,11,4
2021-05,12,1
2021-05,13,4
2021-05,14,2
2021-05,15,5
2021-05,16,3
2021-05,17,1
2021-05,18,1
2021-05,19,3
2021-05,20,5
2021-05,21,1
2021-05,22,2
2021-05,23,7
2021-05,24,3
2021-05,25,5
2021-05,26,3
2021-05,27,3
2021-05,28,1
2021-05,29,3
2021-05,30,5
2021-05,31,2
2021-05,32,6
2021-05,33,1
2021-05,34,1
2021-05,35,3
2021-05,36,1
2021-05,37,7
2021-05,38,4
2021-05,39,9
2021-05,40,1
2021-05,41,6
2021-05,42,4
2021-05,43,3
2021-05,44,2
2021-05,45,1
2021-05,46,3
2021-05,47,3
2021-06,0,181
2021-06,1,7
2021-06,2,3
2021-06,3,7
2021-06,4,6
2021-06,5,4
2021-06,6,3
2021-06,7,1
2021-06,8,6
2021-06,9,8
2021-06,10,7
2021-06,11,3
2021-06,12,2
2021-06,13,7
2021-06,14,1
2021-06,15,6
2021-06,16,4
2021-06,17,6
2021-06,18,8
2021-06,19,3
2021-06,20,4
2021-06,21,4
2021-06,22,4
2021-06,23,6
2021-06,24,1
2021-06,25,8
2021-06,26,3
2021-06,27,7
2021-06,28,4
2021-06,29,7
2021-06,30,3
2021-06,31,2
2021-06,32,3
2021-06,33,5
2021-06,34,6
2021-06,35,5
2021-06,36,2
2021-06,37,4
2021-06,38,6
2021-06,39,5
2021-06,40,5
2021-06,41,6
2021-06,42,4
2021-06,43,8
2021-06,44,3
2021-06,45,6
2021-06,46,4
2021-07,0,126
2021-07,1,3
2021-07,2,3
2021-07,3,6
2021-07,4,3
2021-07,5,3
2021-07,6,3
2021-07,8,3
2021-07,9,6
2021-07,10,4
2021-07,11,3
2021-07,12,3
2021-07,13,2
2021-07,14,8
2021-07,15,5
2021-07,16,5
2021-07,17,2
2021-07,18,2
2021-07,19,5
2021-07,20,1
2021-07,21,1
2021-07,22,3
2021-07,23,3
2021-07,24,3
2021-07,25,4
2021-07,27,3
2021-07,28,3
2021-07,29,4
2021-07,30,7
2021-07,31,2
2021-07,32,4
2021-07,33,6
2021-07,34,4
2021-07,35,4
2021-07,37,2
2021-07,38,4
2021-07,39,3
2021-07,40,5
2021-07,41,3
2021-07,42,2
2021-07,43,1
2021-07,44,3
2021-07,45,3
2021-08,0,143
2021-08,1,2
2021-08,2,4
2021-08,3,6
2021-08,4,5
2021-08,5,3
2021-08,6,3
2021-08,7,6
2021-08,8,3
2021-08,9,6
2021-08,10,4
2021-08,11,4
2021-08,12,6
2021-08,13,7
2021-08,14,4
2021-08,15,5
2021-08,16,7
2021-08,17,2
2021-08,18,1
2021-08,19,7
2021-08,20,3
2021-08,21,4
2021-08,22,4
2021-08,23,4
2021-08,24,2
2021-08,25,4
2021-08,26,4
2021-08,27,5
2021-08,28,4
2021-08,29,5
2021-08,30,7
2021-08,31,1
2021-08,32,3
2021-08,33,2
2021-08,34,2
2021-08,35,3
2021-08,36,3
2021-08,37,4
2021-08,38,1
2021-08,39,5
2021-08,40,3
2021-08,42,7
2021-08,43,5
2021-08,44,3
2021-09,0,149
2021-09,1,2
2021-09,2,1
2021-09,3,5
2021-09,4,4
2021-09,5,5
2021-09,6,10
2021-09,7,3
2021-09,8,4
2021-09,9,4
2021-09,10,4
2021-09,11,4
2021-09,12,1
2021-09,13,8
2021-09,14,7
2021-09,15,5
2021-09,16,3
2021-09,17,2
2021-09,18,6
2021-09,19,2
2021-09,20,5
2021-09,21,5
2021-09,22,6
2021-09,23,4
2021-09,24,3
2021-09,25,3
2021-09,26,4
2021-09,27,7
2021-09,28,7
2021-09,29,7
2021-09,30,4
2021-09,31,2
2021-09,32,4
2021-09,33,3
2021-09,34,6
2021-09,35,3
2021-09,36,5
2021-09,37,4
2021-09,38,4
2021-09,39,4
2021-09,40,4
2021-09,41,2
2021-09,43,3
2021-10,0,123
2021-10,1,3
2021-10,2,4
2021-10,3,3
2021-10,4,5
2021-10,5,2
2021-10,6,4
2021-10,7,7
2021-10,8,2
2021-10,9,4
2021-10,10,5
2021-10,11,3
2021-10,12,1
2021-10,13,5
2021-10,14,2
2021-10,15,4
2021-10,16,2
2021-10,17,8
2021-10,18,4
2021-10,19,2
2021-10,20,2
2021-10,21,3
2021-10,22,5
2021-10,23,5
2021-10,24,1
2021-10,25,3
2021-10,26,5
2021-10,27,1
2021-10,28,3
2021-10,29,2
2021-10,30,3
2021-10,31,3
2021-10,32,2
2021-10,33,2
2021-10,34,3
2021-10,35,5
2021-10,36,5
2021-10,37,3
2021-10,38,2
2021-10,39,1
2021-10,40,3
2021-10,41,3
2021-10,42,2
2021-11,0,115
2021-11,1,3
2021-11,2,7
2021-11,3,1
2021-11,4,3
2021-11,5,5
2021-11,6,4
2021-11,7,3
2021-11,8,2
2021-11,9,2
2021-11,10,1
2021-11,11,5
2021-11,12,5
2021-11,13,3
2021-11,14,4
2021-11,15,4
2021-11,16,4
2021-11,17,5
2021-11,18,4
2021-11,19,3
2021-11,20,3
2021-11,21,5
2021-11,22,1
2021-11,23,2
2021-11,24,1
2021-11,25,1
2021-11,26,2
2021-11,27,1
2021-11,28,5
2021-11,29,2
2021-11,30,4
2021-11,32,3
2021-11,34,7
2021-11,35,5
2021-11,36,2
2021-11,37,4
2021-11,38,6
2021-11,39,3
2021-11,40,2
2021-11,41,1
2021-12,0,130
2021-12,1,3
2021-12,2,3
2021-12,3,4
2021-12,4,4
2021-12,5,2
2021-12,6,3
2021-12,7,6
2021-12,8,1
2021-12,9,7
2021-12,10,1
2021-12,11,2
2021-12,13,6
2021-12,14,2
2021-12,15,4
2021-12,16,3
2021-12,17,3
2021-12,18,3
2021-12,19,4
2021-12,20,6
2021-12,21,5
2021-12,22,2
2021-12,23,2
2021-12,24,3
2021-12,25,4
2021-12,26,2
2021-12,28,3
2021-12,29,3
2021-12,30,2
2021-12,31,8
2021-12,32,2
2021-12,33,1
2021-12,34,2
2021-12,35,2
2021-12,36,6
2021-12,37,3
2021-12,38,5
2021-12,39,5
2021-12,40,4
2022-01,0,127
2022-01,1,4
2022-01,2,4
2022-01,3,2
2022-01,4,3
2022-01,5,2
2022-01,6,1
2022-01,7,3
2022-01,8,4
2022-01,9,4
2022-01,10,3
2022-01,11,2
2022-01,12,3
2022-01,13,1
2022-01,14,1
2022-01,15,4
2022-01,16,2
2022-01,17,4
2022-01,18,6
2022-01,19,7
2022-01,20,1
2022-01,21,4
2022-01,22,5
2022-01,23,4
2022-01,25,1
2022-01,26,6
2022-01,27,4
2022-01,28,1
2022-01,29,3
2022-01,30,3
2022-01,31,3
2022-01,32,7
2022-01,33,1
2022-01,34,4
2022-01,35,5
2022-01,36,2
2022-01,37,3
2022-01,38,4
2022-01,39,1
2022-02,0,119
2022-02,1,5
2022-02,2,5
2022-02,3,3
2022-02,4,2
2022-02,5,2
2022-02,6,4
2022-02,7,1
2022-02,8,3
2022-02,9,3
2022-02,10,3
2022-02,11,3
2022-02,12,2
2022-02,13,7
2022-02,14,1
2022-02,15,4
2022-02,16,3
2022-02,17,12
2022-02,18,1
2022-02,19,1
2022-02,20,5
2022-02,21,1
2022-02,22,2
2022-02,23,5
2022-02,24,4
2022-02,25,5
2022-02,26,6
2022-02,27,4
2022-02,28,2
2022-02,29,3
2022-02,30,4
2022-02,31,3
2022-02,32,5
2022-02,34,2
2022-02,35,1
2022-02,36,2
2022-02,37,3
2022-03,0,120
2022-03,1,1
2022-03,2,3
2022-03,3,2
2022-03,4,2
2022-03,5,5
2022-03,6,5
2022-03,7,2
2022-03,8,1
2022-03,9,3
2022-03,10,4
2022-03,11,4
2022-03,12,2
2022-03,13,5
2022-03,14,5
2022-03,15,3
2022-03,16,3
2022-03,17,3
2022-03,18,2
2022-03,19,6
2022-03,20,4
2022-03,21,3
2022-03,22,5
2022-03,23,6
2022-03,24,5
2022-03,25,2
2022-03,26,3
2022-03,27,2
2022-03,28,4
2022-03,29,1
2022-03,30,2
2022-03,31,4
2022-03,32,5
2022-03,33,6
2022-03,34,6
2022-03,35,1
2022-03,36,5
2022-03,37,1
2022-04,0,110
2022-04,1,1
2022-04,2,2
2022-04,3,1
2022-04,4,1
2022-04,5,3
2022-04,6,3
2022-04,7,5
2022-04,9,4
2022-04,10,1
2022-04,11,3
2022-04,12,2
2022-04,13,6
2022-04,14,1
2022-04,15,2
2022-04,16,2
2022-04,17,1
2022-04,18,2
2022-04,19,6
2022-04,20,2
2022-04,21,1
2022-04,22,1
2022-04,23,5
2022-04,24,3
2022-04,25,2
2022-04,27,3
2022-04,28,3
2022-04,29,2
2022-04,30,1
2022-04,31,2
2022-04,32,3
2022-04,33,5
2022-04,34,2
2022-04,35,9
2022-05,0,120
2022-05,1,3
2022-05,2,4
2022-05,3,2
2022-05,4,4
2022-05,5,2
2022-05,6,2
2022-05,7,1
2022-05,8,3
2022-05,9,3
2022-05,10,4
2022-05,11,3
2022-05,12,1
2022-05,13,4
2022-05,14,1
2022-05,15,3
2022-05,16,2
2022-05,17,1
2022-05,18,5
2022-05,20,2
2022-05,21,3
2022-05,22,8
2022-05,23,2
2022-05,24,4
2022-05,25,1
2022-05,26,3
2022-05,27,5
2022-05,28,2
2022-05,29,4
2022-05,30,4
2022-05,31,4
2022-05,32,7
2022-05,33,3
2022-05,35,2
2022-06,0,120
2022-06,1,1
2022-06,2,1
2022-06,3,1
2022-06,4,3
2022-06,5,3
2022-06,6,1
2022-06,7,1
2022-06,8,2
2022-06,9,4
2022-06,10,7
2022-06,11,2
2022-06,12,6
2022-06,13,2
2022-06,14,4
2022-06,15,2
2022-06,16,4
2022-06,17,1
2022-06,18,3
2022-06,19,4
2022-06,20,5
2022-06,21,2
2022-06,22,2
2022-06,23,2
2022-06,24,3
2022-06,25,5
2022-06,26,4
2022-06,27,2
2022-06,28,1
2022-06,29,3
2022-06,30,4
2022-06,31,3
2022-06,32,3
2022-06,33,1
2022-06,34,2
2022-07,0,118
2022-07,1,6
2022-07,2,2
2022-07,3,5
2022-07,4,2
2022-07,6,5
2022-07,7,3
2022-07,8,4
2022-07,9,3
2022-07,10,2
2022-07,11,2
2022-07,12,1
2022-07,13,5
2022-07,14,2
2022-07,15,3
2022-07,16,4
2022-07,17,5
2022-07,18,4
2022-07,20,2
2022-07,21,1
2022-07,22,3
2022-07,23,2
2022-07,24,4
2022-07,25,4
2022-07,26,5
2022-07,27,4
2022-07,28,3
2022-07,29,3
2022-07,30,6
2022-07,31,1
2022-07,32,2
2022-08,0,111
2022-08,1,3
2022-08,2,7
2022-08,3,2
2022-08,4,3
2022-08,5,7
2022-08,6,3
2022-08,7,3
2022-08,8,3
2022-08,9,1
2022-08,10,5
2022-08,11,2
2022-08,12,3
2022-08,13,6
2022-08,14,7
2022-08,15,3
2022-08,16,3
2022-08,17,5
2022-08,18,4
2022-08,19,3
2022-08,20,1
2022-08,21,4
2022-08,22,1
2022-08,23,2
2022-08,24,2
2022-08,25,2
2022-08,26,6
2022-08,27,4
2022-08,28,2
2022-08,29,5
2022-08,30,1
2022-08,31,3
2022-08,32,2
2022-09,0,104
2022-09,1,2
2022-09,2,1
2022-09,3,3
2022-09,4,3
2022-09,5,2
2022-09,6,2
2022-09,7,3
2022-09,8,2
2022-09,9,1
2022-09,10,3
2022-09,11,3
2022-09,12,3
2022-09,14,1
2022-09,15,1
2022-09,16,1
2022-09,17,2
2022-09,18,3
2022-09,19,1
2022-09,20,4
2022-09,21,4
2022-09,22,4
2022-09,23,2
2022-09,25,3
2022-09,26,1
2022-09,27,1
2022-09,28,4
2022-09,29,1
